theme;question;reponse
Livraison;Est-il possible de me faire livrer en magasin?;Sur Internet et depuis nos magasins, vous pouvez vous faire livrer gratuitement en magasin une large sélection d'articles de décoration. Selon la disponibilité des articles commandés, vous êtes livré en 4 à 6 jours ouvrés. Pour les meubles et la décoration volumineuse, la livraison gratuite en magasin est disponible en commande magasin uniquement (sous réserve de l’accord du magasin). Pour plus d’informations, veuillez-vous rapprocher du magasin Maisons du Monde le plus proche de chez vous.
Livraison;Quel est le montant des frais de livraison ?;Les frais de livraison dépendent de votre pays de livraison, de votre localité et des catégories d'articles commandés.
Livraison;Comment se faire livrer dans la pièce de son choix et sur rendez-vous ?;Le Service PLUS est proposé pour les livraisons prévues au pied de votre domicile et permet de bénéficier de plusieurs avantages : La livraison dans la pièce de votre choixLa livraison sur rendez-vous avec un créneau horaire de 2 à 4 heures (au choix du transporteur)Le déballage et l’enlèvement des cartons par les livreurs (sur demande pour les meubles à assembler). À noter, la prestation ne comprend pas l’assemblage éventuel des articles. Le Service PLUS est proposé pour quelques euros supplémentaires aux commandes de meubles entre 30 et 35 kg. Si vous êtes intéressé, il vous suffit de cocher Service PLUS à l’étape Livraison de la validation de commande.
Livraison;Quelle est la zone de livraison de Maisons du Monde ?;Maisons du Monde est présent dans 11 pays en Europe (France, Italie, Espagne, Belgique, Luxembourg, Allemagne, Suisse, Grande-Bretagne, Pays-Bas, Portugal, Autriche). La livraison est possible dans toute la France Métropolitaine, seule la participation aux frais de livraison diffère pour la Corse, Belle-Ile-en-Mer, l'Île-d’Yeu et l'Île-de-Groix. 
Livraison;Comment vais-je être livré ?;Maisons du Monde sélectionne le mode de livraison et le transporteur les plus adaptés à votre colis en fonction du poids et des dimensions de vos articles. Il existe 3 modes de livraison : la livraison Petit colis : votre colis vous est livré par un livreur, au pied du bâtiment pour un appartement, au portail pour une maison ou dans votre boîte aux lettres si ses dimensions le permettent.la livraison Gros colis : votre colis vous est livré par un livreur, au pied du bâtiment pour un appartement ou au portail pour une maison.la livraison par un transporteur spécialisé : votre colis vous est livré par 2 livreurs dans la pièce de votre choix. Les livreurs assurent le déballage de vos articles et la reprise des emballages. Le mode de livraison et le nom du transporteur vous sont indiqués lors de l'étape Livraison de la validation de commande, en cliquant sur Afficher les détails de livraison. Pour plus d’informations sur un transporteur, consultez les questions dans notre rubrique Livraison, section Délais et modalités de livraison par transporteur. Votre colis sera livré dans le point de retrait que vous avez sélectionné lors du passage de votre commande. Votre colis sera livré dans le magasin que vous avez sélectionné lors du passage de votre commande. Pour plus d’informations sur les délais et modalités d’une livraison en magasin, rendez-vous ici. 
Livraison;Je souhaite modifier mon adresse de livraison.;Vous pouvez modifier votre adresse de livraison lors de la création d’une commande à l’étape Livraison de la validation de commande. Cette modification sera effective sur la commande en cours. Vous pouvez également modifier ces informations depuis votre compte client, en cliquant sur Mes infos personnelles puis Adresses. La modification sera applicable sur les futures commandes uniquement. Une fois la commande validée, la modification de l’adresse de livraison dépend du transporteur et de sa prestation. Vous pouvez demander directement au transporteur un changement d’adresse au sein de la zone de livraison. Une fois votre commande expédiée, la demande peut être faite au transporteur depuis le suivi reçu par e-mail ou par téléphone au numéro figurant sur votre bon de commande. Pour une livraison dans la pièce de votre choix, vous pouvez nous adresser une demande de changement d’adresse de livraison si la zone de livraison et le tarif restent inchangés. Pour ce faire, rendez-vous sur Mon compte, cliquez ensuite sur Mes commandes et sélectionnez la commande pour laquelle vous souhaitez effectuer un changement d'adresse. Nous nous occuperons de tout ! Si vous n'avez pas de compte client ou si vous avez effectué une commande en magasin et qu'elle n'est pas rattachée à votre compte, contactez le Service Client par ici. Pour plus d’informations sur un transporteur, consultez les questions dans notre rubrique Livraison, section Délais et modalités de livraison par transporteur. 
Livraison;Quelles sont les modalités de livraison sur les îles ?;Nous livrons nos clients jusqu’à leur domicile dans les îles suivantes : Corse, Belle-Ile-En-Mer, Île-d’Yeu et Île-de-Groix.Pour toutes les autres îles métropolitaines, nous acheminons la commande jusqu’à l’embarcadère de la gare maritime la plus proche. L’acheminement de la livraison jusqu’à la destination finale est assuré par le client à ses frais et sous sa seule responsabilité.
Livraison;Ma commande a été divisée en deux livraisons différentes, pourquoi ?;Nos articles de petite décoration ne nécessitent pas les mêmes précautions de préparation et de livraison que nos meubles et notre décoration volumineuse. Pour cette raison, si vous passez commande de petite décoration et de meubles ou de décoration plus volumineuse, vous serez livrés par deux transporteurs différents.Vous pouvez vérifier ces informations sur votre bon de commande ! Il n’est pas possible de regrouper les deux livraisons. Pour connaître les modalités de vos différentes livraisons, rendez-vous à l'étape Livraison de la validation de votre commande, en cliquant sur Afficher les détails de livraison pour chacune des livraisons proposées. Pour plus d’informations sur un transporteur, consultez les questions dans notre rubrique Livraison, section Délais et modalités de livraison par transporteur. 
Livraison;Je souhaite me faire livrer au fur et à mesure de la disponibilité de mes articles.;Si un article est indisponible et retarde la livraison du reste de votre commande, vous avez la possibilité de vous faire livrer en plusieurs fois, avec des frais de livraison supplémentaires. Cette option est proposée à l'étape Livraison de la validation de commande en cliquant sur On vous livre en une ou en plusieurs fois. Cliquez sur Afficher les détails de livraison pour plus d'informations. 
Livraison;Quels sont les délais et modalités d’une livraison à domicile pour des achats réalisés en magasin ?;Vous êtes livré par le transporteur Trusk dans la pièce de votre choix et dans les horaires d’ouverture de votre magasin de prise de commande de la course. Lors de votre passage en caisse, notre conseiller-vendeur enregistre votre commande et les infos nécessaires pour la livraison. Un créneau d’1 heure est alors fixé. Un SMS et/ou email vous est envoyé pour régler en ligne la livraison. Une fois le paiement validé et la commande confirmée, vous recevez un nouvel SMS ou email afin de suivre la course. Selon le volume des articles, un ou deux livreurs assurent la livraison. Leur prestation ne comprend pas l'assemblage des articles mais ils reprennent les emballages au besoin. A noter, en cas d’absence, le transporteur vous facturera le surcoût lié à la relivraison.
Livraison;Je souhaite faire livrer à domicile mes achats réalisés en magasin.;Vous pouvez désormais réaliser des achats en magasin et repartir les mains vides ! Depuis une sélection de magasins, faites-vous livrer vos articles directement à votre domicile (uniquement pour un achat réalisé sur place, non valable sur les commandes en livraison magasin). Les livraisons sont réalisées par le transporteur Trusk dans un rayon de 20 km autour du magasin, sur un créneau d’1 heure à votre choix et dans la pièce souhaitée. A noter, vous êtes livrés au minimum 2h après vos achats et selon les ouvertures du magasin. Comment ça fonctionne ? Le conseiller-vendeur Maisons du Monde commande votre course.Un lien vous sera envoyé par email et/ou par SMS pour pouvoir procéder au paiement de la course.La course sera bien prise en compte au moment du paiement. Le tarif de la prestation varie en fonction du volume, des spécificités des articles achetés et du lieu de livraison. Pensez bien à vérifier l’état de votre article ainsi que les dimensions de vos escaliers et/ou ascenseur ! Il est de votre responsabilité de vous assurer, au préalable, que la livraison se passe sans encombre. Renseignez-vous auprès de votre magasin Maisons du Monde pour vérifier qu’il propose bien cette prestation ! Et pour plus d’information sur les délais et modalités d’une livraison par Trusk, cliquez ici.
Livraison;Est-il possible de se faire livrer dans les DOM-TOM ?;Maisons du Monde ne livre pas directement dans les DOM TOM. Cependant la livraison est possible via un transitaire et selon certaines conditions pour la Guadeloupe ou Saint-Martin, par exemple. La recherche et le coût du transitaire reste entièrement à votre charge. Pour connaître vos conditions d'éligibilité, contactez-nous au 0805 98 12 90 et tapez 2 pour être mis en relation avec notre service vente. Nos conseillers sont à votre écoute pour vous renseigner et vous assister dans le passage de votre commande. A noter ! Pour La Réunion, il existe un magasin franchisé Maisons du Monde à Sainte Marie. Passez commande directement en magasin pour une livraison sur l’île même. 
Livraison;Mes meubles sont-ils livrés montés ?;La plupart de nos meubles sont déjà assemblés. Si ce n'est pas le cas, le montage est à réaliser par vos soins, nos livreurs ne réalisant pas cette prestation. Mais rassurez-vous ! L'assemblage de ces meubles est très simple et ne nécessite pas d'outils particuliers. Pour vérifier qu'un meuble est à assembler ou non, rendez-vous dans la rubrique Produit où figure cette mention. En cas de montage, la notice est également mise à disposition sous ce même encart. 
Livraison;Comment m'assurer que le meuble passera la porte ?;Toutes les dimensions de nos articles sont indiquées dans l’encart Caractéristiques de la fiche produit disponible sur Internet. A noter, nos meubles étant soigneusement emballés, il est préférable de consulter les dimensions du carton indiquées dans la fiche technique. Elle est téléchargeable depuis la fiche produit de l’article, sous la rubrique Produit. Il ne vous reste plus qu’à prendre les dimensions de votre porte ainsi que des escaliers et/ou de l’ascenseur pour vous assurer que la livraison se passe sans encombre !Nos vendeurs en magasin ou nos conseillers du service vente par téléphone sont également en mesure de vous communiquer toutes ces informations. N’hésitez pas ! 
Livraison;Que dois-je faire à la réception de mes meubles livrés dans la pièce de mon choix ?;Lors de la réception de votre commande, vous devez vérifier l'état de vos meubles en présence des livreurs. Toute anomalie constatée doit être spécifiée sur le bon de livraison. Pas d'inquiétude cependant, vous disposez d'un délai supplémentaire de 72h pour nous signaler toute avarie sur votre livraison. Pour effectuer votre demande : Si vous n'avez pas de compte client ou si vous avez effectué une commande en magasin et qu'elle n'est pas rattachée à votre compte, contactez le Service Client par ici. 
Livraison;J’étais absent lors de ma livraison et mon colis a été retourné à l’expéditeur, que dois-je faire ?;Pour les livraisons au pied de votre domicile, en cas d’absence, votre colis est déposé dans votre boîte aux lettres si son volume le permet. Dans le cas contraire, un avis vous informe du passage du transporteur. Vous pouvez reprogrammer une livraison ou demander la mise à disposition dans un point de retrait. Si vous optez pour le retrait, vous disposez alors de 10 jours ouvrés pour retirer votre colis. Passé ce délai, celui-ci sera automatiquement renvoyé.Pour les livraisons dans la pièce de votre choix, en cas d’absence, un avis de passage est laissé dans votre boîte aux lettres avec les coordonnées du transporteur pour convenir d’une nouvelle date de livraison. Pas d'inquiétude ! Rendez-vous sur Mon compte, cliquez ensuite sur Mes commandes et sélectionnez la commande pour laquelle vous souhaitez nous signaler la mise en retour. Si vous n'avez pas de compte client ou si vous avez effectué une commande en magasin et qu'elle n'est pas rattachée à votre compte, contactez le Service Client par ici.
Livraison;Je n'ai reçu qu'un colis alors que j'en attendais plusieurs.;Pas de panique, il se peut que vos colis aient pris des chemins différents ! Depuis votre compte client, vous avez la possibilité de vérifier le nombre de colis ainsi que leurs numéros de suivi. Rendez-vous sur le site du transporteur en question pour suivre l’acheminement du colis manquant. Si vous ne recevez toujours pas le colis, vous pouvez adresser une demande au Service Client par ici. À noter, nos articles de petite décoration ne nécessitent pas les mêmes précautions de préparation et de livraison que nos meubles et notre décoration volumineuse. Pour cette raison, si vous passez commande de petite décoration et de meubles ou de décoration plus volumineuse, vous serez livré par deux transporteurs différents. Vous pouvez vérifier ces informations sur votre bon de commande ! Pour plus d’informations sur un transporteur, consultez les questions dans notre rubrique Livraison, section Délais et modalités de livraison par transporteur. 
Retour et Remboursement;Quels sont les délais et modes de remboursement ?;Pour les achats et commandes passées en magasin avec une livraison en magasin : en-dessous de 100 €, nous vous remboursons par carte bancaire ou en espèces selon le type de paiement effectué à l’achat. au-dessus de 100 €, ou pour les paiements par chèque et virement, nous vous remboursons par chèque sous un délai de 15 jours maximum. À noter, les paiements en chèque cadeau, carte cadeau, bon d’achat ou avoir sont remboursés en avoir uniquement. Pour rappel, toutes les commandes passées en magasin pour une livraison à domicile sont fermes et définitives. Elles ne sont ni annulables, ni remboursables. Pour les commandes passées sur internet, selon le moyen de paiement effectué, les délais et modes de remboursement diffèrent : À noter, en cas de reprise d’article, le remboursement s’effectue une fois le retour confirmé par le transporteur ou l’entrepôt. Vous recevez un e-mail de confirmation une fois votre remboursement traité par notre service comptabilité. 
Retour et Remboursement;Mes frais de livraison sont-ils remboursés ?;Pour toute commande passée sur notre site Internet, vous êtes remboursé des frais de livraison si la totalité de votre commande nous est retournée.
